Timestamp,Will you be voting in 2019 Presidential Election?,"In your opinion, Who is most likely to win the Upcoming Presidential Election?","If the Election is Today, which Candidate you will be voting?",What is the reason for you to vote the above candidate?,"What is the most Important Problem as you see in the country, that makes you decide whom to vote?",Whom did you vote in the last Presidential Election?,What is your Current Age?,What is your Religion?,What is your Highest level of Education?,What is your Current Occupation status?,What is your Current Salary Range,What is your Ethnicity?,What is your district?
30/10/2019 13:36:04,Yes,Mr. Gotabaya Rajapakse,Mr. Gotabaya Rajapaksha,Security,Corruption,Did Not Vote,29,Buddhism,Post-Graduate degree,Private Sector Employee,120000 and above,Sinhalese,Kegalle
30/10/2019 13:47:11,Yes,Mr. Gotabaya Rajapakse,Mr. Gotabaya Rajapaksha,Because he is the most educated person among these candidates.,National Security,Mr. Mahinda Rajapakse,29,Buddhism,Post-Graduate degree,Private Sector Employee,60000 - 120000,Sinhalese,Hambantota
30/10/2019 13:55:00,Yes,Mr. Gotabaya Rajapakse,Mr. Gotabaya Rajapaksha,,Corruption,Did Not Vote,30,Buddhism,Post-Graduate degree,Private Sector Employee,60000 - 120000,Sinhalese,Kandy
30/10/2019 14:00:50,No,Mr. Gotabaya Rajapakse,Will not Vote,,all of the above,Mr. Maithripala Sirisena,35,Buddhism,Post-Graduate degree,Private Sector Employee,120000 and above,Sinhalese,Gampaha
30/10/2019 14:01:58,Yes,Mr. Gotabaya Rajapakse,Mr. Gotabaya Rajapaksha,Progression of development ,Physical Infrastructure development,Mr. Mahinda Rajapakse,40,Buddhism,Post-Graduate degree,Private Sector Employee,120000 and above,Sinhalese,Colombo
30/10/2019 14:03:36,Yes,Mr. Gotabaya Rajapakse,Mr. Sajith Premadasa,Equal rights and freedom to all communities. Upholding democratic values.,Economic Development,Mr. Maithripala Sirisena,25,I’d rather not mention.,Post-Graduate degree,Private Sector Employee,60000 - 120000,Will not Answer,Kandy
30/10/2019 14:07:08,Yes,Mr. Anura Kumara Dissanayake,Mr. Anura Kumara Dissanayake,,Corruption,Mr. Maithripala Sirisena,35,Buddhism,Post-Graduate degree,Private Sector Employee,60000 - 120000,Sinhalese,Gampaha
30/10/2019 14:09:00,Not Decided Yet,General Mahesh Senanayake,General Mahesh Senanayake,,Economic Security,Did Not Vote,34,No Religion,Post-Graduate degree,Government Employee,120000 and above,Will not Answer,Gampaha
30/10/2019 14:13:59,Yes,Mr. Gotabaya Rajapakse,Mr. Gotabaya Rajapaksha,His proven dedication for the country.,National Security,Mr. Mahinda Rajapakse,27,Buddhism,Post-Graduate degree,Private Sector Employee,120000 and above,Sinhalese,Kalutara
30/10/2019 14:24:50,Yes,Mr. Gotabaya Rajapakse,Mr. Gotabaya Rajapaksha,,Economic Development,Mr. Maithripala Sirisena,35,Buddhism,Post-Graduate degree,,120000 and above,Sinhalese,
30/10/2019 14:28:09,Yes,Mr. Gotabaya Rajapakse,Mr. Gotabaya Rajapaksha,,Economic Security,Mr. Maithripala Sirisena,35,Buddhism,Post-Graduate degree,Government Employee,30000 - 60000,Sinhalese,Kandy
30/10/2019 14:30:43,Yes,Mr. Gotabaya Rajapakse,Mr. Gotabaya Rajapaksha,,Economic Development,Mr. Maithripala Sirisena,30,Buddhism,Post-Graduate degree,Private Sector Employee,120000 and above,Sinhalese,
30/10/2019 14:35:43,Yes,Mr. Anura Kumara Dissanayake,Mr. Anura Kumara Dissanayake,,Corruption,Mr. Maithripala Sirisena,27,Buddhism,Post-Graduate degree,Private Sector Employee,120000 and above,Sinhalese,Colombo
30/10/2019 14:39:06,Not Decided Yet,Mr. Gotabaya Rajapakse,General Mahesh Senanayake,He is not from the current political environment ,Corruption,Did Not Vote,26,Buddhism,Post-Graduate degree,Private Sector Employee,60000 - 120000,Sinhalese,Kegalle
30/10/2019 14:46:11,Yes,Mr. Sajith Premadasa,Mr. Anura Kumara Dissanayake,Others are already proofed they can’ t,Economic Development,Mr. Maithripala Sirisena,29,Buddhism,Post-Graduate degree,Private Sector Employee,120000 and above,Sinhalese,Kurunegala
30/10/2019 14:51:25,Yes,Mr. Gotabaya Rajapakse,Mr. Anura Kumara Dissanayake,,Lack of  national policies.,Did Not Vote,23,No Religion,Autodidact,Private Sector Employee,60000 - 120000,Sinhalese,Matale
31/10/2019 16:46:36,Yes,Mr. Gotabaya Rajapakse,Mr. Gotabaya Rajapaksha,,Religious Issues,Mr. Maithripala Sirisena,gsdfgsdfg,Buddhism,Post-Graduate degree,Private Sector Employee,15000 - 30000,Sinhalese,Kalutara
31/10/2019 22:59:34,Not Decided Yet,Mr. Gotabaya Rajapakse,Will not Vote,,Economic Security,Did Not Vote,25,Buddhism,Post-Graduate degree,Private Sector Employee,60000 - 120000,Sinhalese,Matara
31/10/2019 22:59:48,Not Decided Yet,Mr. Gotabaya Rajapakse,Will not Vote,,Economic Security,Did Not Vote,25,Buddhism,Post-Graduate degree,Private Sector Employee,60000 - 120000,Sinhalese,Matara
31/10/2019 23:33:41,Yes,Mr. Gotabaya Rajapakse,General Mahesh Senanayake,Both main parties haven't done something remarkable to our country.,Economic Development,Mr. Maithripala Sirisena,25,Buddhism,Advanced Level (A/L) - Passed,Student,,Sinhalese,Ratnapura
01/11/2019 00:05:06,Yes,Mr. Gotabaya Rajapakse,General Mahesh Senanayake,"He is not a currupted politician and I believe that only an outsider can make the change we are looking for. Also the people who are with Gen. Mahesh are good, clever people.",Economic Development,Mr. Maithripala Sirisena,31,Buddhism,Degree,Private Sector Employee,120000 and above,Sinhalese,Colombo
01/11/2019 05:10:32,Yes,Mr. Gotabaya Rajapakse,Mr. Gotabaya Rajapaksha,,National Security,Mr. Mahinda Rajapakse,29,Buddhism,Post-Graduate degree,Will not Answer,,Sinhalese,Gampaha
01/11/2019 21:51:26,Yes,Mr. Gotabaya Rajapakse,General Mahesh Senanayake,Alternate for the best,Corruption,Mr. Maithripala Sirisena,24,Buddhism,Will not Answer,Will not Answer,Below 15000,Sinhalese,Colombo
01/11/2019 21:54:23,Yes,Mr. Gotabaya Rajapakse,Mr. Gotabaya Rajapaksha,,Economic Security,Mr. Mahinda Rajapakse,25,Buddhism,Advanced Level (A/L) - Passed,Student,Below 15000,Sinhalese,Galle
01/11/2019 21:54:27,Yes,Mr. Gotabaya Rajapakse,General Mahesh Senanayake,,Corruption,Mr. Maithripala Sirisena,23,Christianity,Advanced Level (A/L) - Passed,Student,Below 15000,Sinhalese,Colombo
01/11/2019 21:55:07,Yes,Mr. Sajith Premadasa,Mr. Sajith Premadasa,Simple man with a broader vision,Economic Security,Mr. Maithripala Sirisena,25,Buddhism,Advanced Level (A/L) - Passed,Student,60000 - 120000,Sinhalese,Gampaha
01/11/2019 21:56:27,Yes,Mr. Gotabaya Rajapakse,Mr. Gotabaya Rajapaksha,He has proven that he has the capability to lead the country ,Economic Development,Mr. Mahinda Rajapakse,24,Buddhism,Post-Graduate degree,Private Sector Employee,120000 and above,Sinhalese,Colombo
01/11/2019 21:57:11,Yes,Mr. Gotabaya Rajapakse,Mr. Gotabaya Rajapaksha,,National Security,Mr. Mahinda Rajapakse,24,Buddhism,Advanced Level (A/L) - Passed,Student,Below 15000,Sinhalese,Galle
01/11/2019 22:07:33,Yes,Mr. Gotabaya Rajapakse,General Mahesh Senanayake,,National Security,Mr. Maithripala Sirisena,25,Buddhism,Post-Graduate degree,Student,Below 15000,Sinhalese,Ratnapura
01/11/2019 22:14:25,Yes,Mr. Gotabaya Rajapakse,Mr. Gotabaya Rajapaksha,ගැම්ම තියෙන්නේ එතන,Economic Development,Mr. Mahinda Rajapakse,26,Buddhism,Advanced Level (A/L) - Passed,Student,Below 15000,Sinhalese,Kurunegala
01/11/2019 22:22:33,Yes,Mr. Anura Kumara Dissanayake,Mr. Rohan Pallewatta,Educated,Foreign influence,Mr. Maithripala Sirisena,24,Islam,Post-Graduate degree,Student,60000 - 120000,Sri Lankan Muslim,Kurunegala
01/11/2019 22:25:04,Yes,General Mahesh Senanayake,General Mahesh Senanayake,,Corruption,Mr. Maithripala Sirisena,28,Christianity,Post-Graduate degree,Private Sector Employee,60000 - 120000,Sinhalese,Kurunegala
01/11/2019 22:32:33,Yes,Mr. Gotabaya Rajapakse,Mr. Anura Kumara Dissanayake,,Physical Infrastructure development,Mr. Maithripala Sirisena,26,Buddhism,Post-Graduate degree,Private Sector Employee,60000 - 120000,Sinhalese,Kegalle
01/11/2019 22:38:52,Will not Answer,Mr. Anura Kumara Dissanayake,Mr. Anura Kumara Dissanayake,Policy and behavior,National security + economic security,Mr. Maithripala Sirisena,27,Buddhism,Post-Graduate degree,Private Sector Employee,120000 and above,Sinhalese,Kegalle
01/11/2019 22:42:40,Yes,Mr. Gotabaya Rajapakse,Mr. Anura Kumara Dissanayake,He has some clear vision about the public's problem than the others,Corruption,Did Not Vote,27,Hinduism,Post-Graduate degree,,120000 and above,Tamil,Ampara
01/11/2019 22:45:59,Yes,Mr. Sajith Premadasa,Mr. Sajith Premadasa,,Inter racial conflicts,Mr. Maithripala Sirisena,26,Hinduism,Post-Graduate degree,Private Sector Employee,60000 - 120000,Tamil,Batticaloa
01/11/2019 22:47:43,Yes,Mr. Sajith Premadasa,Mr. Sajith Premadasa,No corruption,Religious Issues,Mr. Maithripala Sirisena,27,Christianity,Up to Ordinary Level (O/L),Pastor,Below 15000,Tamil,Batticaloa
01/11/2019 22:48:14,No,Mr. Gotabaya Rajapakse,Mr. Anura Kumara Dissanayake,No reason ,Physical Infrastructure development,Did Not Vote,27,Buddhism,Post-Graduate degree,Private Sector Employee,120000 and above,Sinhalese,Kandy
01/11/2019 23:00:57,Yes,Mr. Sajith Premadasa,Mr. Sajith Premadasa,Young moment’s ,Corruption,Mr. Maithripala Sirisena,26,Christianity,Ordinary Level (O/L)  -  Passed,Government Employee,30000 - 60000,Burger,Batticaloa
